,Grade,기온(°C),풍향(deg),풍속(m/s),강수량(mm),습도,보온재,고도,음/양지_0,음/양지_1,가정용/일반용_0,가정용/일반용_1
99,0,-0.8,346.4,0.7,0,76.8,0,29,1,0,1,0
100,0,-0.7,12.9,0.9,0,78.5,0,29,1,0,1,0
101,0,-1.3,352.6,0.6,0,80.3,0,29,1,0,1,0
102,0,-1.7,0,0.4,0,83.7,0,29,1,0,1,0
103,0,-2.5,107.8,0.6,0,89.3,0,29,1,0,1,0
104,0,-2.4,0,0.3,0,89.2,0,29,1,0,1,0
105,0,-3,0,0.1,0,93.1,0,29,1,0,1,0
106,0,-3.4,0,0.1,0,97.9,0,29,1,0,1,0
107,0,-3.5,170.6,0.6,0,97.9,0,29,1,0,1,0
108,0,-4.2,0,0.2,0,97.9,0,29,1,0,1,0
109,0,-4.1,280.4,0.5,0,97.9,0,29,1,0,1,0
110,0,-3.5,284,0.5,0,97.9,0,29,1,0,1,0
111,0,-2.4,0,0.2,0,97.9,0,29,1,0,1,0
112,0,-0.5,0,0.2,0,97.9,0,29,1,0,1,0
113,0,2.7,131.7,0.7,0,76.2,0,29,1,0,1,0
114,0,8.3,79,0.9,0,59.1,0,29,1,0,1,0
115,0,11.2,344.8,1.1,0,49.4,0,29,1,0,1,0
116,0,12.5,82.3,1.9,0,47.2,0,29,1,0,1,0
117,0,13.2,130.9,2.5,0,47.1,0,29,1,0,1,0
118,0,14.1,103.1,1.8,0,44.1,0,29,1,0,1,0
119,0,13.7,148.3,3.3,0,44.5,0,29,1,0,1,0
120,0,13.1,147.4,2.8,0,46.9,0,29,1,0,1,0
121,0,8.5,225,0.8,0,61.1,0,29,1,0,1,0
122,0,6.3,34.6,0.9,0,72.5,0,29,1,0,1,0
123,0,4.1,0,0.3,0,79.7,0,29,1,0,1,0
124,0,2.7,32.4,0.5,0,86.4,0,29,1,0,1,0
125,0,1.8,0,0.2,0,97.8,0,29,1,0,1,0
126,0,0.3,0,0.1,0,97.9,0,29,1,0,1,0
127,0,-0.2,0,0.1,0,97.9,0,29,1,0,1,0
128,0,0.2,240.1,0.6,0,97.9,0,29,1,0,1,0
130,0,-0.1,0,0.1,0,97.9,0,29,1,0,1,0
131,0,0.1,0,0.2,0,97.9,0,29,1,0,1,0
132,0,0.8,0,0.3,0,97.9,0,29,1,0,1,0
133,0,0.9,0,0.1,0,97.9,0,29,1,0,1,0
134,0,1.3,0,0.4,0,97.9,0,29,1,0,1,0
135,0,2,0,0.2,0,97.9,0,29,1,0,1,0
136,0,2.6,125.9,1.1,0,97.9,0,29,1,0,1,0
137,0,3.7,72.9,1.2,0,97.9,0,29,1,0,1,0
138,0,4.4,0,0.3,0,97.9,0,29,1,0,1,0
139,0,6,67.4,0.6,0,97.9,0,29,1,0,1,0
140,0,6.8,35.9,0.7,0,95.9,0,29,1,0,1,0
141,0,7.7,59.3,0.6,0,90.8,0,29,1,0,1,0
142,0,9.1,42.1,0.9,0,81.1,0,29,1,0,1,0
143,0,9,0,0.3,0,78.3,0,29,1,0,1,0
144,0,7.7,130.7,0.5,0,92.9,0,29,1,0,1,0
145,0,5.5,0,0.2,0,97.9,0,29,1,0,1,0
146,0,4.5,123.5,0.9,0,97.9,0,29,1,0,1,0
147,0,2.7,0,0.3,0,97.9,0,29,1,0,1,0
148,0,3.1,0,0.4,0,97.9,0,29,1,0,1,0
149,0,3.5,0,0.3,0,97.9,0,29,1,0,1,0
150,0,3.7,0,0.3,0,97.9,0,29,1,0,1,0
151,0,3.2,358,0.6,0,97.9,0,29,1,0,1,0
152,0,2.8,31.1,0.8,0,97.9,0,29,1,0,1,0
153,0,2.7,41.3,1.2,0,97.9,0,29,1,0,1,0
154,0,2.6,0,0.2,0,97.9,0,29,1,0,1,0
155,0,2.7,206.1,0.6,0,97.9,0,29,1,0,1,0
156,0,5.3,269.5,1.5,0,57.2,0,29,1,0,1,0
157,0,5.4,278.4,3,0,44.4,0,29,1,0,1,0
158,0,3.4,301.6,1.2,0,45.1,0,29,1,0,1,0
159,0,2.1,249.5,1.1,0,41.6,0,29,1,0,1,0
160,0,3.3,341.9,2.2,0,35.9,0,29,1,0,1,0
161,0,2.9,268.9,4.9,0,29.6,0,29,1,0,1,0
162,0,3.1,330.9,3.3,0,25.5,0,29,1,0,1,0
163,0,3.7,272.8,4.9,0,23.5,0,29,1,0,1,0
